date,time,waitUsCitizen,waitNonCitizen,maxWaitUsCitizen,maxWaitNonCitizen
3/1/18,1200 - 1300,20,58,35,66
3/1/18,1600 - 1700,3,8,5,7
3/1/18,1700 - 1800,13,89,43,109
3/1/18,1800 - 1900,18,29,14,29
3/1/18,2100 - 2200,33,72,42,72
3/2/18,1100 - 1200,26,65,37,66
3/2/18,1500 - 1600,9,22,14,25
3/2/18,1600 - 1700,12,28,36,71
3/2/18,1800 - 1900,3,7,0,0
3/2/18,1900 - 2000,4,8,5,7
3/3/18,1400 - 1500,3,13,10,27
3/3/18,1600 - 1700,7,105,46,111
3/3/18,1800 - 1900,17,27,38,66
3/3/18,2100 - 2200,19,68,37,68
3/4/18,1200 - 1300,17,60,38,66
3/4/18,1500 - 1600,13,47,31,60
3/4/18,1600 - 1700,4,10,8,8
3/4/18,1700 - 1800,14,52,33,71
3/4/18,1800 - 1900,5,12,5,11
3/4/18,2200 - 2300,17,55,26,55
3/5/18,1100 - 1200,17,56,42,79
3/5/18,1600 - 1700,4,19,20,48
3/5/18,1800 - 1900,6,13,5,12
3/5/18,2100 - 2200,15,50,26,49
3/6/18,1100 - 1200,42,75,47,78
3/6/18,1500 - 1600,16,72,42,106
3/6/18,1600 - 1700,17,66,59,96
3/6/18,1800 - 1900,4,10,5,9
3/7/18,1300 - 1400,6,9,10,23
3/7/18,1600 - 1700,3,7,0,0
3/7/18,1800 - 1900,9,38,46,86
3/7/18,2100 - 2200,28,83,43,83
3/8/18,1100 - 1200,19,77,39,84
3/8/18,1600 - 1700,12,91,38,91
3/8/18,1700 - 1800,13,37,39,70
3/8/18,1800 - 1900,4,13,9,12
3/8/18,2100 - 2200,25,67,40,76
3/9/18,1200 - 1300,16,50,24,49
3/9/18,1400 - 1500,11,34,23,52
3/9/18,1600 - 1700,3,9,5,9
3/9/18,1800 - 1900,4,10,3,7
3/10/18,1400 - 1500,3,7,10,24
3/10/18,1600 - 1700,10,36,40,95
3/10/18,1700 - 1800,18,69,61,98
3/10/18,2100 - 2200,21,56,33,59
3/11/18,1200 - 1300,27,59,34,61
3/11/18,1500 - 1600,14,57,26,59
3/11/18,1700 - 1800,1,5,2,4
3/11/18,1800 - 1900,10,39,19,56
3/11/18,2100 - 2200,13,44,26,45
3/12/18,1100 - 1200,13,49,23,49
3/12/18,1300 - 1400,7,16,13,25
3/12/18,1600 - 1700,10,33,14,38
3/12/18,1700 - 1800,6,13,6,7
3/12/18,1800 - 1900,6,14,9,14
3/12/18,2100 - 2200,20,57,30,59
3/13/18,1100 - 1200,22,50,27,49
3/13/18,1600 - 1700,4,9,9,11
3/13/18,1700 - 1800,26,68,44,110
3/13/18,1800 - 1900,5,17,7,12
3/14/18,1400 - 1500,4,9,11,22
3/14/18,1600 - 1700,2,6,3,5
3/14/18,1800 - 1900,9,40,32,64
3/14/18,2100 - 2200,14,58,29,58
3/15/18,1100 - 1200,22,64,33,63
3/15/18,1600 - 1700,10,39,27,76
3/15/18,1900 - 2000,18,55,40,74
3/15/18,2200 - 2300,22,73,37,74
3/16/18,1200 - 1300,14,44,32,70
3/16/18,1500 - 1600,11,24,10,24
3/16/18,1600 - 1700,4,9,4,6
3/16/18,1700 - 1800,7,50,36,93
3/16/18,1800 - 1900,5,15,33,50
3/17/18,1600 - 1700,10,44,37,94
3/17/18,1700 - 1800,27,71,65,142
3/17/18,1800 - 1900,56,119,96,140
3/17/18,2100 - 2200,22,63,40,67
3/18/18,1200 - 1300,15,61,40,71
3/18/18,1400 - 1500,14,45,32,65
3/18/18,1600 - 1700,5,21,0,0
3/18/18,1800 - 1900,17,72,36,97
3/18/18,1900 - 2000,17,35,9,15
3/18/18,2100 - 2200,16,49,24,50
3/19/18,1100 - 1200,13,43,24,45
3/19/18,1200 - 1300,2,15,18,41
3/19/18,1600 - 1700,5,11,7,11
3/19/18,1700 - 1800,11,52,39,94
3/19/18,1800 - 1900,5,21,7,8
3/19/18,2100 - 2200,17,51,27,51
3/20/18,1200 - 1300,24,71,36,73
3/20/18,1600 - 1700,4,11,4,5
3/20/18,1700 - 1800,16,65,46,131
3/20/18,1800 - 1900,6,21,10,10
3/20/18,1900 - 2000,7,33,16,46
3/20/18,2100 - 2200,19,53,32,57
3/21/18,1200 - 1300,22,67,42,79
3/21/18,1600 - 1700,5,14,25,60
3/21/18,1800 - 1900,11,46,41,85
3/21/18,2100 - 2200,14,40,18,40
3/22/18,1100 - 1200,22,51,29,55
3/22/18,1600 - 1700,12,35,44,105
3/22/18,1900 - 2000,6,33,36,72
3/22/18,2100 - 2200,24,69,34,67
3/23/18,1100 - 1200,15,46,27,52
3/23/18,1500 - 1600,31,59,31,63
3/23/18,1700 - 1800,4,9,6,8
3/23/18,1800 - 1900,5,18,14,18
3/23/18,2000 - 2100,15,52,30,57
3/23/18,2200 - 2300,34,66,33,67
3/24/18,1500 - 1600,7,21,28,71
3/24/18,1600 - 1700,5,12,7,8
3/24/18,1700 - 1800,7,70,44,107
3/24/18,1800 - 1900,9,39,64,106
3/24/18,2000 - 2100,29,81,48,81
3/24/18,2100 - 2200,44,105,61,110
3/24/18,2200 - 2300,33,104,66,104